title,group_id,group_name,entity_id,matching ID,Column2,Column3
השכלה גבוהה: מכון טכנולוגי חולון,5b8620f9-b1fd-4424-8ca5-2a5a420b4e32,foi-office-628,foi-office-628,3,HIT מכון טכנולוגי חולון,135ac92c-6245-4822-95a2-3807abdd8e55
התאחדות ספורט: איגוד הג'ודו בישראל,3bef8a38-3d3a-4e4b-95dd-107d162ac803,foi-office-1607,foi-office-1607,14,איגוד הג'ודו הישראלי,05548a4f-15fd-4931-b3d1-95aaf4b6f955
יחידת סמך: בית חולים איכילוב,7986ca57-84be-4319-919a-136962cc6d42,foi-office-413,foi-office-413,31,"איכילוב: המרכז הרפואי ת""א ע""ש סוראסקי",7999ac28-0a3d-4037-90d3-ceb23748c78d
תאגיד סטטוטורי: המוסד לביטוח לאומי,1897f587-e4fc-4910-9d06-5ffb29bb485e,foi-office-271,foi-office-271,32,ביטוח לאומי,f086af64-af89-448d-83a6-bda6ea7607bd
יחידת סמך: בית חולים רמבם,5040e0ee-06d4-49f7-9612-a730a622b2fd,foi-office-421,foi-office-421,33,"בית החולים רמב""ם",765bfc11-50f4-41cb-85f0-923fc0437598
מוסד ממלכתי: לשכת נשיא המדינה,8178eb95-7b17-4ded-ab76-f0f93639c8c6,foi-office-393,foi-office-393,34,בית הנשיא,2ea6982c-247f-4c67-bb81-29c25358428d
השכלה גבוהה: המכללה האקדמית תל-אביב יפו,0549dc16-3067-4ac5-949b-ddb1d49f526b,foi-office-1060,foi-office-1060,38,האקדמית תל אביב יפו,cc94ba44-f5f6-4b88-b9c9-1cd75880ee8d
יחידת סמך: הטלוויזיה החינוכית הישראלית,ae5f8e12-653e-4f5b-b5dc-bf00771ea716,foi-office-424,foi-office-424,43,הטלוויזיה החינוכית,e2b5dacc-0af5-42e3-8a10-f5c7d96653fe
תאגיד סטטוטורי: המועצה להשכלה גבוהה,7349fffd-ced4-4e52-be6e-1cac46cd8f6c,foi-office-983,foi-office-983,47,"המועצה להשכלה גבוהה מל""ג",1030eeba-3ec7-495b-afa6-3525c119084b
יחידת סמך: מינהל אזרחי אזור יהודה ושומרון (מנהאז יוש),75cdb105-8946-4254-8091-86b418cccaf1,foi-office-1912,foi-office-1912,48,המינהל האזרחי לאזור יהודה ושומרון,cbafc33d-db66-4522-be4e-94fac70c0f98
יחידת סמך: מרכז רפואי שיבא,e9cce77f-299c-48d1-a637-12f75a19e9fd,foi-office-422,foi-office-422,52,המרכז הרפואי שיבא תל השומר,012db072-21e0-47d8-aad1-721cfba4f3e1
משרד ממשלתי: המשרד לפיתוח הפריפריה הנגב והגליל,13d9e8b1-309f-4f5e-94a3-256e6d39105b,foi-office-398,foi-office-398,57,המשרד לפיתוח הנגב והגליל,18b81a1b-4ca3-4e53-88bf-c771d7dc31bf
משרד ממשלתי: המשרד לשוויון חברתי,b4d91b3d-a294-4167-b16c-d4afc829a077,foi-office-395,foi-office-395,58,המשרד לשוויון חברתי (אזרחים ותיקים),d208f713-2423-4afc-a46e-a085e1f7b62e
חברה ממשלתית: חברת דואר ישראל בעמ,067ee665-1013-4a47-a3d8-369e7dbac14f,foi-office-593,foi-office-593,1020,חברת דואר ישראל,19b02f25-6e5e-4873-87e8-416f5df0d383
חברה ממשלתית: חברת החשמל לישראל בעמ,5c921730-47c9-4511-abc4-d04b222fc9ce,foi-office-682,foi-office-682,1021,חברת החשמל לישראל,3b3252fa-e266-41de-a0f8-f0b39672760f
חברה ממשלתית: חברת נתיבי תחבורה עירוניים בעמ (נ.ת.ע),6a7a2431-e271-47c4-ac0d-099a43b31e8d,foi-office-562,foi-office-562,1022,"חברת נתיבי תחבורה עירוניים- נת""ע",30aa7f5a-2a8d-42af-a938-91ee071309f4
תאגיד סטטוטורי: תאגיד השידור הישראלי,57ec35b8-0d83-46ea-9196-cf471ff2c891,foi-office-2279,foi-office-2279,1064,כאן תאגיד השידור הישראלי,1a40c037-3402-437d-a815-0fccaf94076a
מוסד ממלכתי: הכנסת,ee9881b4-3fa9-4323-9ad1-1994bd70d296,foi-office-675,foi-office-675,1065,כנסת,05a22f7d-e223-4952-8a55-3d502af53957
תאגיד סטטוטורי: לשכת עורכי הדין בישראל,0217ee8c-e8d8-4f4f-ba67-36f849aa49f9,foi-office-543,foi-office-543,1067,לשכת עורכי הדין,ab164791-ca56-45d4-b516-26e380e96248
רשות מקומית: מועצה אזורית ערבות הירדן,fafddaa1-af04-450f-a092-fae711abb2be,foi-office-839,foi-office-839,1085,מועצה אזורית ערבות הירדן (בקעת הירדן),jordanvalley
רשות מקומית: מועצה אזורית שומרון,6d0f0f46-49ce-4d84-87ae-f91088630984,foi-office-974,foi-office-974,1087,מועצה איזורית שומרון,shomron
רשות מקומית: מועצה מקומית גוליס,ad1167b1-5d78-4ac7-9498-49534d7efda1,foi-office-842,foi-office-842,1152,מועצה מקומית ג'וליס,839e8b69-41cf-4792-83b6-dde4bec8cebf
רשות מקומית: מועצה מקומית עספיא,3371ff9a-5eca-4d93-8f17-0de041762759,foi-office-940,foi-office-940,1171,מועצה מקומית עוספיא,4840ac1f-3ade-46f5-bc65-17f4364b865f
רשות מקומית: מועצה מקומית פרדס חנה-כרכור,0f64c89b-37a6-4147-9588-f5daa63700e0,foi-office-513,foi-office-513,1177,מועצה מקומית פרדס חנה כרכור,ebcce2a6-83f4-4df9-ba16-d367255cfcd3
יחידת סמך: מינהל התכנון,ba362f65-cbeb-4635-8543-be1fe3919237,foi-office-2038,foi-office-2038,1181,מינהל התכנון,8d424596-e9e1-42ed-85f6-70f68fcf498d
יחידת סמך: מרכז בריאות הנפש אברבנאל,af790202-02dc-4697-83cb-97bab8e71008,foi-office-436,foi-office-436,1184,מרכז לבריאות הנפש אברבנאל,4dc1c7b6-c044-412d-b471-d69ff3106d13
משרד ממשלתי: משרד החקלאות ופיתוח הכפר,8114667a-3e6e-406c-9d88-fdc2af08e8dc,foi-office-405,foi-office-405,1193,משרד החקלאות,2d3f3776-0a57-46cf-87a0-a494bb63fd6d
משרד ממשלתי: משרד המדע והטכנולוגיה,0e00a11a-d4bc-4b45-a971-a54a4d634979,foi-office-406,foi-office-406,1195,משרד המדע,489361d1-8064-4111-9b63-b6da513ddd94
משרד ממשלתי: משרד הרווחה והשירותים החברתיים,2ec35ea2-c050-4c38-b5eb-20f6b94fe4d3,foi-office-185,foi-office-185,1197,"משרד העבודה, הרווחה והשירותים החברתיים",6c0ca2e7-d2b5-43cd-ba15-e6a403753075
משרד ממשלתי: משרד התחבורה והבטיחות בדרכים,f80f44ce-73b1-4dd0-a5d9-98811466ed5d,foi-office-186,foi-office-186,1200,משרד התחבורה,4fd50e02-c9f9-49b0-a1a9-6dc941b1d149
משרד ממשלתי: המשרד לירושלים ומורשת,7e692aff-8ea2-453a-b418-b9a3a79e6cab,foi-office-2893,foi-office-2893,1205,משרד ירושלים ומורשת,939cfe6a-8519-46f8-9eb3-e2fc9682f78c
חברה ממשלתית: נתיבי ישראל - החברה הלאומית לתשתיות תחבורה בעמ,10243085-b555-47f6-b695-8d6139685493,foi-office-599,foi-office-599,1215,נתיבי ישראל,cc68beb9-ee06-4725-8708-ea038fd3fa9e
רשות מקומית: עיריית אום אל פאחם,50601ac2-cd6e-466c-9fd3-d63d5eace1da,foi-office-812,foi-office-812,1216,עיריית אום אל פחם,7f6af937-e855-4dbb-b43c-2c9440843e3c
רשות מקומית: עיריית באקה אל-גרבייה,0c4a8eea-f57d-4832-9a62-c3756313c532,foi-office-459,foi-office-459,1221,עיריית באקה אל גרבייה,83817cca-312e-43fb-be3d-b0b3624f7c2e
רשות מקומית: עיריית ביתר עילית,9c687d83-619a-4128-9715-9ccdce4223e8,foi-office-463,foi-office-463,1224,"עיריית בית""ר עלית",41064ba7-34ec-4e83-96b1-633f632a9dfc
רשות מקומית: עיריית מודיעין-מכבים-רעות,e3f7e659-e3bd-40e4-bc3d-120de0686654,foi-office-907,foi-office-907,1238,עיריית מודיעין,a3510080-d5a2-4bea-ac54-5a348c39468a
רשות מקומית: עיריית סח'נין,846f3366-fe0e-45b6-b4cc-2fe5c0e13285,foi-office-931,foi-office-931,1242,עיריית סכנין,9f460c68-c4b4-4e68-8dd7-cf0fb41e91ba
רשות מקומית: עיריית קרית מוצקין,34ae4c01-1763-4c37-a215-178a2b24fa80,foi-office-522,foi-office-522,1245,עיריית קריית מוצקין,83ae9a23-6d45-4aff-9238-07f0cf712e9d
רשות מקומית: עיריית קריית אונו,bd33d8d9-268c-4778-9d80-0668419759f7,foi-office-515,foi-office-515,1246,עיריית קרית אונו,bcb9d0ef-53bd-46fb-bcd7-966b1412767e
רשות מקומית: עיריית קריית ים,9db30df9-e0c0-44cd-9419-0ab522cf0b93,foi-office-520,foi-office-520,1248,עיריית קרית ים,45d44c9e-c002-4842-984b-c8177df6a37f
חברה ממשלתית: עמידר - החברה הלאומית לשיכון בישראל בעמ,ee9a6e25-e669-4108-9845-36ef58ddd27e,foi-office-602,foi-office-602,1257,עמידר החדשה,9aa6c4bb-996b-4332-a46c-441f5bb040a5
יחידת סמך: צבא הגנה לישראל,0720bbcf-87fd-4def-8e8e-931124921ed2,foi-office-442,foi-office-442,1258,"צבא ההגנה לישראל- צה""ל",cfe53b51-c3ed-4b17-a9cb-b0f01c540692
קופת חולים: קופת חולים מכבי שירותי בריאות,10e818cf-bd43-499d-974c-56e86fcb2499,foi-office-639,foi-office-639,1262,קופת חולים מכבי,23834e72-2649-426d-bebb-b172ce61c698
יחידת סמך: רשות ההגבלים העסקיים,8ae474d6-6428-4767-b0d0-f0e1bfba25ad,foi-office-445,foi-office-445,1267,רשות הגבלים עסקיים,5e5acb5c-8a48-417b-b23f-4d36a610fc8f
תאגיד סטטוטורי: רשות החדשנות,e715b27c-9ab7-4a7c-bde4-15bdd95d6135,foi-office-4097,foi-office-4097,1269,רשות החדשנות- המדען הראשי,9301eff2-b6c3-4bbe-a909-d2454bf405b1
תאגיד סטטוטורי: הרשות לשירותים ציבוריים - חשמל,0a94c943-bb79-49c0-b7fa-0bd43cedbd74,foi-office-542,foi-office-542,1270,רשות החשמל,16d6c77c-5fae-4a6d-9134-b9542e900196
תאגיד סטטוטורי: הרשות לשמירת הטבע והגנים הלאומיים,5992e4eb-5d13-4c9a-a3db-fcfcbc96a0dd,foi-office-994,foi-office-994,1271,רשות הטבע והגנים,87804162-2066-4de6-88be-a1c4edbebb05
יחידת סמך: רשות המסים בישראל,44b29639-a5b1-41c9-a06b-e5ae3c17d86a,foi-office-446,foi-office-446,1272,רשות המסים,3c51d20a-e2c5-4266-a566-213de713682d
יחידת סמך: רשות השירות הלאומי - אזרחי,00f96634-797a-48fd-a2c8-0e18685133c3,foi-office-1835,foi-office-1835,1274,רשות השירות הלאומי אזרחי,086a03fe-9e38-4618-aeb0-a5e7bae0c80b
יחידת סמך: רשות התעופה האזרחית (רתא),d4960986-661c-4d80-b9ee-df23ea9cd8dd,foi-office-447,foi-office-447,1275,רשות התעופה האזרחית,51741f93-1098-4a17-a4b9-413d80182ea4
תאגיד סטטוטורי: רשות שדות התעופה,7ed3c8bd-0b72-4e0b-b569-98a023d965d0,foi-office-1004,foi-office-1004,1441,רשות שדות התעופה בישראל,bb61438d-75a5-4613-a182-895704764c40
"יחידת סמך: רשות שוק ההון, הביטוח והחיסכון",657573e2-e3cf-47e4-bfdd-d5fbbc6a0613,foi-office-4141,foi-office-4141,1442,רשות שוק ההון הביטוח והחיסכון,3140185e-3287-4ed7-8009-c46ea7d6f942
Chile Ministry of Education Ministerio de Educación de Chile,471b69bb-a262-40cd-a9dd-3ac5f1649551,mineduc,,,,
European Commission,d0e69fc0-6f6c-4374-93c9-1e75e3a4c6ab,european-commission,,,,
NASA - National Aeronautics and Space Administration,e8282836-1561-4c59-8d5b-01207680d014,nasa-national-aeronautics-and-space-administration,,,,
New York State Education Department,e2ce26ba-86e2-4966-aebf-c427c6dce58e,new-york-state-education-department,,,,
U.S. Marine Corps,560e9825-0935-4ff7-9744-470103a6d553,u-s-marine-corps,,,,
U.S. Navy,8a403456-1b44-41b9-ba8c-2e5a0a169e63,navy,,,,
UK Ministry of Defence,074d2468-fe05-4ef6-a973-70ec3b923210,uk-ministry-of-defence,,,,
ministry of business innovation & employment of new zealand,787c8a26-5044-4333-8cdd-3e687a51d8a9,mbie,,,,
אוניברסיטת אריאל בשומרון,4ae1ad21-c186-425f-8f5a-6c75f9eee1ae,ariel,foi-office-622,,,
אוניברסיטת בן-גוריון בנגב,b17fa7e1-4399-4b1f-9d3a-71998aedcdf7,bgu,foi-office-605,,,
אוניברסיטת חיפה,5adf672f-8000-4531-ba29-2748868cf58a,haifa-ac,foi-office-607,,,
אחר: החברה לאיתור ולהשבת נכסים של נספי השואה בעמ,2af6a2f9-21af-4b5d-9636-a9c9d4c70871,foi-office-2703,foi-office-2703,,,
איגוד הכדורסל,a61d9d52-38d7-4228-b961-4fea54c4f5b1,ibasketball,,,,
איגוד ערים: אזור אגן בית נטופה ( איכות הסביבה),03355255-b7f6-4b48-8f96-6462f6af8724,foi-office-4194,foi-office-4194,,,
איגוד ערים: אזור דן (תברואה וסילוק אשפה),771a8187-b127-4f6a-91ef-12bbf9c7f7d1,foi-office-4190,foi-office-4190,,,
איגוד ערים: איגוד אזור שדרות ושער הנגב לביוב,3b21ffc6-2535-475c-bd9e-f3bacc9e74ba,foi-office-4208,foi-office-4208,,,
איגוד ערים: איגוד דרום השרון המזרחי לביוב,f34f2281-4e0a-48dc-9b8a-7859cbd11790,foi-office-4210,foi-office-4210,,,
איגוד ערים: איגוד ערים אזור השרון לתברואה,a4ca8bf5-7cd7-47f7-b6fc-e6d5e5e8514e,foi-office-4189,foi-office-4189,,,
איגוד ערים: איגוד ערים אזור חיפה- ביוב,192207ae-09ed-481a-9158-2970c6e577f7,foi-office-4205,foi-office-4205,,,
